recordid,monthend,department,headcount,hires,terminations,attritionrate,year,month,quarter,month_name,net_change,growth_rate,turnover_rate,hire_rate,headcount_3m_avg,hires_3m_avg,terminations_3m_avg,headcount_mom_change,headcount_mom_change_pct,dept_avg_headcount,headcount_category,attrition_risk,has_hires,has_terminations,is_growing,is_shrinking
HC-161,2019-06-29,Logistics,34,4,0,0.0,2019,6,2,June,4,11.76,0.0,11.76,31.0,2.3,0.0,4.0,13.33,105.0,Medium (20-50),,1,0,1,0
HC-170,2019-07-30,Logistics,36,2,0,0.0,2019,7,3,July,2,5.56,0.0,5.56,33.0,2.7,0.0,2.0,5.88,105.0,Medium (20-50),,1,0,1,0
HC-179,2019-08-30,Logistics,38,2,0,0.0,2019,8,3,August,2,5.26,0.0,5.26,36.0,2.7,0.0,2.0,5.56,105.0,Medium (20-50),,1,0,1,0
HC-188,2019-09-29,Logistics,38,1,1,0.0263,2019,9,3,September,0,0.0,2.63,2.63,37.0,1.7,0.3,0.0,0.0,105.0,Medium (20-50),Low (<5%),1,1,0,0
HC-197,2019-10-30,Logistics,42,5,1,0.0238,2019,10,4,October,4,9.52,2.38,11.9,39.0,2.7,0.7,4.0,10.53,105.0,Medium (20-50),Low (<5%),1,1,1,0
HC-206,2019-11-29,Logistics,45,3,0,0.0,2019,11,4,November,3,6.67,0.0,6.67,42.0,3.0,0.7,3.0,7.14,105.0,Medium (20-50),,1,0,1,0
HC-215,2019-12-30,Logistics,46,1,0,0.0,2019,12,4,December,1,2.17,0.0,2.17,44.0,3.0,0.3,1.0,2.22,105.0,Medium (20-50),,1,0,1,0
HC-224,2020-01-30,Logistics,49,3,0,0.0,2020,1,1,January,3,6.12,0.0,6.12,47.0,2.3,0.0,3.0,6.52,105.0,Medium (20-50),,1,0,1,0
HC-233,2020-02-28,Logistics,53,4,0,0.0,2020,2,1,February,4,7.55,0.0,7.55,49.0,2.7,0.0,4.0,8.16,105.0,Large (50-100),,1,0,1,0
HC-242,2020-03-30,Logistics,55,2,0,0.0,2020,3,1,March,2,3.64,0.0,3.64,52.0,3.0,0.0,2.0,3.77,105.0,Large (50-100),,1,0,1,0
HC-251,2020-04-29,Logistics,60,5,0,0.0,2020,4,2,April,5,8.33,0.0,8.33,56.0,3.7,0.0,5.0,9.09,105.0,Large (50-100),,1,0,1,0
HC-260,2020-05-30,Logistics,61,1,0,0.0,2020,5,2,May,1,1.64,0.0,1.64,59.0,2.7,0.0,1.0,1.67,105.0,Large (50-100),,1,0,1,0
HC-269,2020-06-29,Logistics,63,2,0,0.0,2020,6,2,June,2,3.17,0.0,3.17,61.0,2.7,0.0,2.0,3.28,105.0,Large (50-100),,1,0,1,0
HC-278,2020-07-30,Logistics,66,3,0,0.0,2020,7,3,July,3,4.55,0.0,4.55,63.0,2.0,0.0,3.0,4.76,105.0,Large (50-100),,1,0,1,0
HC-287,2020-08-30,Logistics,69,3,0,0.0,2020,8,3,August,3,4.35,0.0,4.35,66.0,2.7,0.0,3.0,4.55,105.0,Large (50-100),,1,0,1,0
HC-296,2020-09-29,Logistics,72,3,0,0.0,2020,9,3,September,3,4.17,0.0,4.17,69.0,3.0,0.0,3.0,4.35,105.0,Large (50-100),,1,0,1,0
HC-305,2020-10-30,Logistics,74,2,0,0.0,2020,10,4,October,2,2.7,0.0,2.7,72.0,2.7,0.0,2.0,2.78,105.0,Large (50-100),,1,0,1,0
HC-314,2020-11-29,Logistics,78,4,0,0.0,2020,11,4,November,4,5.13,0.0,5.13,75.0,3.0,0.0,4.0,5.41,105.0,Large (50-100),,1,0,1,0
HC-323,2020-12-30,Logistics,78,0,0,0.0,2020,12,4,December,0,0.0,0.0,0.0,77.0,2.0,0.0,0.0,0.0,105.0,Large (50-100),,0,0,0,0
HC-332,2021-01-30,Logistics,83,5,0,0.0,2021,1,1,January,5,6.02,0.0,6.02,80.0,3.0,0.0,5.0,6.41,105.0,Large (50-100),,1,0,1,0
HC-341,2021-02-27,Logistics,86,3,0,0.0,2021,2,1,February,3,3.49,0.0,3.49,82.0,2.7,0.0,3.0,3.61,105.0,Large (50-100),,1,0,1,0
HC-350,2021-03-30,Logistics,92,6,0,0.0,2021,3,1,March,6,6.52,0.0,6.52,87.0,4.7,0.0,6.0,6.98,105.0,Large (50-100),,1,0,1,0
HC-359,2021-04-29,Logistics,98,6,0,0.0,2021,4,2,April,6,6.12,0.0,6.12,92.0,5.0,0.0,6.0,6.52,105.0,Large (50-100),,1,0,1,0
HC-368,2021-05-30,Logistics,101,3,0,0.0,2021,5,2,May,3,2.97,0.0,2.97,97.0,5.0,0.0,3.0,3.06,105.0,Very Large (100+),,1,0,1,0
HC-377,2021-06-29,Logistics,102,1,0,0.0,2021,6,2,June,1,0.98,0.0,0.98,100.0,3.3,0.0,1.0,0.99,105.0,Very Large (100+),,1,0,1,0
HC-386,2021-07-30,Logistics,103,1,0,0.0,2021,7,3,July,1,0.97,0.0,0.97,102.0,1.7,0.0,1.0,0.98,105.0,Very Large (100+),,1,0,1,0
HC-395,2021-08-30,Logistics,104,1,0,0.0,2021,8,3,August,1,0.96,0.0,0.96,103.0,1.0,0.0,1.0,0.97,105.0,Very Large (100+),,1,0,1,0
HC-404,2021-09-29,Logistics,105,2,0,0.0,2021,9,3,September,2,1.9,0.0,1.9,104.0,1.3,0.0,1.0,0.96,105.0,Very Large (100+),,1,0,1,0
HC-413,2021-10-30,Logistics,108,2,0,0.0,2021,10,4,October,2,1.85,0.0,1.85,106.0,1.7,0.0,3.0,2.86,105.0,Very Large (100+),,1,0,1,0
HC-422,2021-11-29,Logistics,111,3,0,0.0,2021,11,4,November,3,2.7,0.0,2.7,108.0,2.3,0.0,3.0,2.78,105.0,Very Large (100+),,1,0,1,0
HC-431,2021-12-30,Logistics,114,4,1,0.0088,2021,12,4,December,3,2.63,0.88,3.51,111.0,3.0,0.3,3.0,2.7,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-440,2022-01-30,Logistics,115,2,1,0.0087,2022,1,1,January,1,0.87,0.87,1.74,113.0,3.0,0.7,1.0,0.88,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-449,2022-02-27,Logistics,115,0,0,0.0,2022,2,1,February,0,0.0,0.0,0.0,115.0,2.0,0.7,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-458,2022-03-30,Logistics,118,3,0,0.0,2022,3,1,March,3,2.54,0.0,2.54,116.0,1.7,0.3,3.0,2.61,105.0,Very Large (100+),,1,0,1,0
HC-467,2022-04-29,Logistics,118,0,0,0.0,2022,4,2,April,0,0.0,0.0,0.0,117.0,1.0,0.0,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-476,2022-05-30,Logistics,121,3,0,0.0,2022,5,2,May,3,2.48,0.0,2.48,119.0,2.0,0.0,3.0,2.54,105.0,Very Large (100+),,1,0,1,0
HC-485,2022-06-29,Logistics,123,2,0,0.0,2022,6,2,June,2,1.63,0.0,1.63,121.0,1.7,0.0,2.0,1.65,105.0,Very Large (100+),,1,0,1,0
HC-494,2022-07-30,Logistics,125,2,0,0.0,2022,7,3,July,2,1.6,0.0,1.6,123.0,2.3,0.0,2.0,1.63,105.0,Very Large (100+),,1,0,1,0
HC-503,2022-08-30,Logistics,125,0,0,0.0,2022,8,3,August,0,0.0,0.0,0.0,124.0,1.3,0.0,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-512,2022-09-29,Logistics,125,1,1,0.008,2022,9,3,September,0,0.0,0.8,0.8,125.0,1.0,0.3,0.0,0.0,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-521,2022-10-30,Logistics,127,3,1,0.0079,2022,10,4,October,2,1.57,0.79,2.36,126.0,1.3,0.7,2.0,1.6,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-530,2022-11-29,Logistics,131,5,0,0.0,2022,11,4,November,5,3.82,0.0,3.82,128.0,3.0,0.7,4.0,3.15,105.0,Very Large (100+),,1,0,1,0
HC-539,2022-12-30,Logistics,134,2,0,0.0,2022,12,4,December,2,1.49,0.0,1.49,131.0,3.3,0.3,3.0,2.29,105.0,Very Large (100+),,1,0,1,0
HC-548,2023-01-30,Logistics,137,3,0,0.0,2023,1,1,January,3,2.19,0.0,2.19,134.0,3.3,0.0,3.0,2.24,105.0,Very Large (100+),,1,0,1,0
HC-557,2023-02-27,Logistics,142,5,0,0.0,2023,2,1,February,5,3.52,0.0,3.52,138.0,3.3,0.0,5.0,3.65,105.0,Very Large (100+),,1,0,1,0
HC-566,2023-03-30,Logistics,147,5,0,0.0,2023,3,1,March,5,3.4,0.0,3.4,142.0,4.3,0.0,5.0,3.52,105.0,Very Large (100+),,1,0,1,0
HC-575,2023-04-29,Logistics,148,1,0,0.0,2023,4,2,April,1,0.68,0.0,0.68,146.0,3.7,0.0,1.0,0.68,105.0,Very Large (100+),,1,0,1,0
HC-584,2023-05-30,Logistics,152,4,0,0.0,2023,5,2,May,4,2.63,0.0,2.63,149.0,3.3,0.0,4.0,2.7,105.0,Very Large (100+),,1,0,1,0
HC-593,2023-06-29,Logistics,151,0,1,0.0066,2023,6,2,June,-1,-0.66,0.66,0.0,150.0,1.7,0.3,-1.0,-0.66,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-602,2023-07-30,Logistics,154,3,0,0.0,2023,7,3,July,3,1.95,0.0,1.95,152.0,2.3,0.3,3.0,1.99,105.0,Very Large (100+),,1,0,1,0
HC-611,2023-08-30,Logistics,155,1,0,0.0,2023,8,3,August,1,0.65,0.0,0.65,153.0,1.3,0.3,1.0,0.65,105.0,Very Large (100+),,1,0,1,0
HC-620,2023-09-29,Logistics,160,5,0,0.0,2023,9,3,September,5,3.12,0.0,3.12,156.0,3.0,0.0,5.0,3.23,105.0,Very Large (100+),,1,0,1,0
HC-629,2023-10-30,Logistics,161,1,0,0.0,2023,10,4,October,1,0.62,0.0,0.62,159.0,2.3,0.0,1.0,0.62,105.0,Very Large (100+),,1,0,1,0
HC-638,2023-11-29,Logistics,160,1,1,0.0063,2023,11,4,November,0,0.0,0.62,0.62,160.0,2.3,0.3,-1.0,-0.62,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-647,2023-12-30,Logistics,162,1,0,0.0,2023,12,4,December,1,0.62,0.0,0.62,161.0,1.0,0.3,2.0,1.25,105.0,Very Large (100+),,1,0,1,0
HC-656,2024-01-30,Logistics,165,3,0,0.0,2024,1,1,January,3,1.82,0.0,1.82,162.0,1.7,0.3,3.0,1.85,105.0,Very Large (100+),,1,0,1,0
HC-665,2024-02-28,Logistics,169,4,0,0.0,2024,2,1,February,4,2.37,0.0,2.37,165.0,2.7,0.0,4.0,2.42,105.0,Very Large (100+),,1,0,1,0
HC-674,2024-03-30,Logistics,170,1,0,0.0,2024,3,1,March,1,0.59,0.0,0.59,168.0,2.7,0.0,1.0,0.59,105.0,Very Large (100+),,1,0,1,0
HC-683,2024-04-29,Logistics,169,0,1,0.0059,2024,4,2,April,-1,-0.59,0.59,0.0,169.0,1.7,0.3,-1.0,-0.59,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-692,2024-05-30,Logistics,174,5,0,0.0,2024,5,2,May,5,2.87,0.0,2.87,171.0,2.0,0.3,5.0,2.96,105.0,Very Large (100+),,1,0,1,0
HC-701,2024-06-29,Logistics,175,1,0,0.0,2024,6,2,June,1,0.57,0.0,0.57,173.0,2.0,0.3,1.0,0.57,105.0,Very Large (100+),,1,0,1,0
HC-710,2024-07-30,Logistics,177,2,0,0.0,2024,7,3,July,2,1.13,0.0,1.13,175.0,2.7,0.0,2.0,1.14,105.0,Very Large (100+),,1,0,1,0
HC-719,2024-08-30,Logistics,178,1,0,0.0,2024,8,3,August,1,0.56,0.0,0.56,177.0,1.3,0.0,1.0,0.56,105.0,Very Large (100+),,1,0,1,0
HC-728,2024-09-29,Logistics,181,3,0,0.0,2024,9,3,September,3,1.66,0.0,1.66,179.0,2.0,0.0,3.0,1.69,105.0,Very Large (100+),,1,0,1,0
HC-737,2024-10-30,Logistics,183,2,0,0.0,2024,10,4,October,2,1.09,0.0,1.09,181.0,2.0,0.0,2.0,1.1,105.0,Very Large (100+),,1,0,1,0
HC-746,2024-11-29,Logistics,184,1,0,0.0,2024,11,4,November,1,0.54,0.0,0.54,183.0,2.0,0.0,1.0,0.55,105.0,Very Large (100+),,1,0,1,0
HC-755,2024-12-30,Logistics,185,1,0,0.0,2024,12,4,December,1,0.54,0.0,0.54,184.0,1.3,0.0,1.0,0.54,105.0,Very Large (100+),,1,0,1,0
HC-764,2025-01-30,Logistics,187,3,0,0.0,2025,1,1,January,3,1.6,0.0,1.6,185.0,1.7,0.0,2.0,1.08,105.0,Very Large (100+),,1,0,1,0
HC-773,2025-02-27,Logistics,191,3,0,0.0,2025,2,1,February,3,1.57,0.0,1.57,188.0,2.3,0.0,4.0,2.14,105.0,Very Large (100+),,1,0,1,0
HC-782,2025-03-30,Logistics,192,1,0,0.0,2025,3,1,March,1,0.52,0.0,0.52,190.0,2.3,0.0,1.0,0.52,105.0,Very Large (100+),,1,0,1,0
HC-791,2025-04-29,Logistics,194,2,0,0.0,2025,4,2,April,2,1.03,0.0,1.03,192.0,2.0,0.0,2.0,1.04,105.0,Very Large (100+),,1,0,1,0
HC-800,2025-05-30,Logistics,194,0,0,0.0,2025,5,2,May,0,0.0,0.0,0.0,193.0,1.0,0.0,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-809,2025-06-29,Logistics,197,3,0,0.0,2025,6,2,June,3,1.52,0.0,1.52,195.0,1.7,0.0,3.0,1.55,105.0,Very Large (100+),,1,0,1,0
HC-818,2025-07-30,Logistics,198,1,0,0.0,2025,7,3,July,1,0.51,0.0,0.51,196.0,1.3,0.0,1.0,0.51,105.0,Very Large (100+),,1,0,1,0
HC-827,2025-08-30,Logistics,199,2,1,0.005,2025,8,3,August,1,0.5,0.5,1.01,198.0,2.0,0.3,1.0,0.51,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-836,2025-09-29,Logistics,200,1,0,0.0,2025,9,3,September,1,0.5,0.0,0.5,199.0,1.3,0.3,1.0,0.5,105.0,Very Large (100+),,1,0,1,0
HC-845,2025-10-30,Logistics,205,5,0,0.0,2025,10,4,October,5,2.44,0.0,2.44,201.0,2.7,0.3,5.0,2.5,105.0,Very Large (100+),,1,0,1,0
HC-2,2018-01-30,Marketing,1,1,0,0.0,2018,1,1,January,1,100.0,0.0,100.0,1.0,1.0,0.0,,,103.0,Small (<20),,1,0,1,0
HC-11,2018-02-27,Marketing,3,2,0,0.0,2018,2,1,February,2,66.67,0.0,66.67,2.0,1.5,0.0,2.0,200.0,103.0,Small (<20),,1,0,1,0
HC-20,2018-03-30,Marketing,6,3,0,0.0,2018,3,1,March,3,50.0,0.0,50.0,3.0,2.0,0.0,3.0,100.0,103.0,Small (<20),,1,0,1,0
HC-29,2018-04-29,Marketing,7,1,0,0.0,2018,4,2,April,1,14.29,0.0,14.29,5.0,2.0,0.0,1.0,16.67,103.0,Small (<20),,1,0,1,0
HC-38,2018-05-30,Marketing,9,2,0,0.0,2018,5,2,May,2,22.22,0.0,22.22,7.0,2.0,0.0,2.0,28.57,103.0,Small (<20),,1,0,1,0
HC-47,2018-06-29,Marketing,11,2,0,0.0,2018,6,2,June,2,18.18,0.0,18.18,9.0,1.7,0.0,2.0,22.22,103.0,Small (<20),,1,0,1,0
HC-56,2018-07-30,Marketing,12,1,0,0.0,2018,7,3,July,1,8.33,0.0,8.33,11.0,1.7,0.0,1.0,9.09,103.0,Small (<20),,1,0,1,0
HC-65,2018-08-30,Marketing,13,1,0,0.0,2018,8,3,August,1,7.69,0.0,7.69,12.0,1.3,0.0,1.0,8.33,103.0,Small (<20),,1,0,1,0
HC-74,2018-09-29,Marketing,13,0,0,0.0,2018,9,3,September,0,0.0,0.0,0.0,13.0,0.7,0.0,0.0,0.0,103.0,Small (<20),,0,0,0,0
HC-83,2018-10-30,Marketing,16,3,0,0.0,2018,10,4,October,3,18.75,0.0,18.75,14.0,1.3,0.0,3.0,23.08,103.0,Small (<20),,1,0,1,0
HC-92,2018-11-29,Marketing,19,3,0,0.0,2018,11,4,November,3,15.79,0.0,15.79,16.0,2.0,0.0,3.0,18.75,103.0,Small (<20),,1,0,1,0
HC-101,2018-12-30,Marketing,21,2,0,0.0,2018,12,4,December,2,9.52,0.0,9.52,19.0,2.7,0.0,2.0,10.53,103.0,Medium (20-50),,1,0,1,0
HC-110,2019-01-30,Marketing,23,2,0,0.0,2019,1,1,January,2,8.7,0.0,8.7,21.0,2.3,0.0,2.0,9.52,103.0,Medium (20-50),,1,0,1,0
HC-119,2019-02-27,Marketing,24,1,0,0.0,2019,2,1,February,1,4.17,0.0,4.17,23.0,1.7,0.0,1.0,4.35,103.0,Medium (20-50),,1,0,1,0
HC-128,2019-03-30,Marketing,27,3,0,0.0,2019,3,1,March,3,11.11,0.0,11.11,25.0,2.0,0.0,3.0,12.5,103.0,Medium (20-50),,1,0,1,0
HC-137,2019-04-29,Marketing,31,4,0,0.0,2019,4,2,April,4,12.9,0.0,12.9,27.0,2.7,0.0,4.0,14.81,103.0,Medium (20-50),,1,0,1,0
HC-146,2019-05-30,Marketing,35,4,0,0.0,2019,5,2,May,4,11.43,0.0,11.43,31.0,3.7,0.0,4.0,12.9,103.0,Medium (20-50),,1,0,1,0
HC-155,2019-06-29,Marketing,39,4,0,0.0,2019,6,2,June,4,10.26,0.0,10.26,35.0,4.0,0.0,4.0,11.43,103.0,Medium (20-50),,1,0,1,0
HC-164,2019-07-30,Marketing,40,1,0,0.0,2019,7,3,July,1,2.5,0.0,2.5,38.0,3.0,0.0,1.0,2.56,103.0,Medium (20-50),,1,0,1,0
HC-173,2019-08-30,Marketing,42,2,0,0.0,2019,8,3,August,2,4.76,0.0,4.76,40.0,2.3,0.0,2.0,5.0,103.0,Medium (20-50),,1,0,1,0
HC-182,2019-09-29,Marketing,44,2,0,0.0,2019,9,3,September,2,4.55,0.0,4.55,42.0,1.7,0.0,2.0,4.76,103.0,Medium (20-50),,1,0,1,0
HC-191,2019-10-30,Marketing,46,2,0,0.0,2019,10,4,October,2,4.35,0.0,4.35,44.0,2.0,0.0,2.0,4.55,103.0,Medium (20-50),,1,0,1,0
HC-200,2019-11-29,Marketing,47,1,0,0.0,2019,11,4,November,1,2.13,0.0,2.13,46.0,1.7,0.0,1.0,2.17,103.0,Medium (20-50),,1,0,1,0
HC-209,2019-12-30,Marketing,50,3,0,0.0,2019,12,4,December,3,6.0,0.0,6.0,48.0,2.0,0.0,3.0,6.38,103.0,Medium (20-50),,1,0,1,0
HC-218,2020-01-30,Marketing,56,7,1,0.0179,2020,1,1,January,6,10.71,1.79,12.5,51.0,3.7,0.3,6.0,12.0,103.0,Large (50-100),Low (<5%),1,1,1,0
HC-227,2020-02-28,Marketing,57,1,0,0.0,2020,2,1,February,1,1.75,0.0,1.75,54.0,3.7,0.3,1.0,1.79,103.0,Large (50-100),,1,0,1,0
HC-236,2020-03-30,Marketing,60,3,0,0.0,2020,3,1,March,3,5.0,0.0,5.0,58.0,3.7,0.3,3.0,5.26,103.0,Large (50-100),,1,0,1,0
HC-245,2020-04-29,Marketing,65,5,0,0.0,2020,4,2,April,5,7.69,0.0,7.69,61.0,3.0,0.0,5.0,8.33,103.0,Large (50-100),,1,0,1,0
HC-254,2020-05-30,Marketing,69,4,0,0.0,2020,5,2,May,4,5.8,0.0,5.8,65.0,4.0,0.0,4.0,6.15,103.0,Large (50-100),,1,0,1,0
HC-263,2020-06-29,Marketing,74,5,0,0.0,2020,6,2,June,5,6.76,0.0,6.76,69.0,4.7,0.0,5.0,7.25,103.0,Large (50-100),,1,0,1,0
HC-272,2020-07-30,Marketing,75,1,0,0.0,2020,7,3,July,1,1.33,0.0,1.33,73.0,3.3,0.0,1.0,1.35,103.0,Large (50-100),,1,0,1,0
HC-281,2020-08-30,Marketing,77,2,0,0.0,2020,8,3,August,2,2.6,0.0,2.6,75.0,2.7,0.0,2.0,2.67,103.0,Large (50-100),,1,0,1,0
HC-290,2020-09-29,Marketing,77,0,0,0.0,2020,9,3,September,0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,103.0,Large (50-100),,0,0,0,0
HC-299,2020-10-30,Marketing,80,4,1,0.0125,2020,10,4,October,3,3.75,1.25,5.0,78.0,2.0,0.3,3.0,3.9,103.0,Large (50-100),Low (<5%),1,1,1,0
HC-308,2020-11-29,Marketing,82,2,0,0.0,2020,11,4,November,2,2.44,0.0,2.44,80.0,2.0,0.3,2.0,2.5,103.0,Large (50-100),,1,0,1,0
HC-317,2020-12-30,Marketing,86,5,1,0.0116,2020,12,4,December,4,4.65,1.16,5.81,83.0,3.7,0.7,4.0,4.88,103.0,Large (50-100),Low (<5%),1,1,1,0
HC-326,2021-01-30,Marketing,93,7,0,0.0,2021,1,1,January,7,7.53,0.0,7.53,87.0,4.7,0.3,7.0,8.14,103.0,Large (50-100),,1,0,1,0
HC-335,2021-02-27,Marketing,97,4,0,0.0,2021,2,1,February,4,4.12,0.0,4.12,92.0,5.3,0.3,4.0,4.3,103.0,Large (50-100),,1,0,1,0
HC-344,2021-03-30,Marketing,102,5,0,0.0,2021,3,1,March,5,4.9,0.0,4.9,97.0,5.3,0.0,5.0,5.15,103.0,Very Large (100+),,1,0,1,0
HC-353,2021-04-29,Marketing,105,3,0,0.0,2021,4,2,April,3,2.86,0.0,2.86,101.0,4.0,0.0,3.0,2.94,103.0,Very Large (100+),,1,0,1,0
HC-362,2021-05-30,Marketing,106,1,0,0.0,2021,5,2,May,1,0.94,0.0,0.94,104.0,3.0,0.0,1.0,0.95,103.0,Very Large (100+),,1,0,1,0
HC-371,2021-06-29,Marketing,107,1,0,0.0,2021,6,2,June,1,0.93,0.0,0.93,106.0,1.7,0.0,1.0,0.94,103.0,Very Large (100+),,1,0,1,0
HC-380,2021-07-30,Marketing,110,3,0,0.0,2021,7,3,July,3,2.73,0.0,2.73,108.0,1.7,0.0,3.0,2.8,103.0,Very Large (100+),,1,0,1,0
HC-389,2021-08-30,Marketing,110,1,1,0.0091,2021,8,3,August,0,0.0,0.91,0.91,109.0,1.7,0.3,0.0,0.0,103.0,Very Large (100+),Low (<5%),1,1,0,0
HC-398,2021-09-29,Marketing,110,2,2,0.0182,2021,9,3,September,0,0.0,1.82,1.82,110.0,2.0,1.0,0.0,0.0,103.0,Very Large (100+),Low (<5%),1,1,0,0
HC-407,2021-10-30,Marketing,111,1,0,0.0,2021,10,4,October,1,0.9,0.0,0.9,110.0,1.3,1.0,1.0,0.91,103.0,Very Large (100+),,1,0,1,0
HC-416,2021-11-29,Marketing,114,3,0,0.0,2021,11,4,November,3,2.63,0.0,2.63,112.0,2.0,0.7,3.0,2.7,103.0,Very Large (100+),,1,0,1,0
HC-425,2021-12-30,Marketing,117,3,0,0.0,2021,12,4,December,3,2.56,0.0,2.56,114.0,2.3,0.0,3.0,2.63,103.0,Very Large (100+),,1,0,1,0
HC-434,2022-01-30,Marketing,119,3,1,0.0084,2022,1,1,January,2,1.68,0.84,2.52,117.0,3.0,0.3,2.0,1.71,103.0,Very Large (100+),Low (<5%),1,1,1,0
HC-443,2022-02-27,Marketing,119,1,1,0.0084,2022,2,1,February,0,0.0,0.84,0.84,118.0,2.3,0.7,0.0,0.0,103.0,Very Large (100+),Low (<5%),1,1,0,0
HC-452,2022-03-30,Marketing,119,0,0,0.0,2022,3,1,March,0,0.0,0.0,0.0,119.0,1.3,0.7,0.0,0.0,103.0,Very Large (100+),,0,0,0,0
HC-461,2022-04-29,Marketing,120,2,1,0.0083,2022,4,2,April,1,0.83,0.83,1.67,119.0,1.0,0.7,1.0,0.84,103.0,Very Large (100+),Low (<5%),1,1,1,0
HC-470,2022-05-30,Marketing,119,1,2,0.0168,2022,5,2,May,-1,-0.84,1.68,0.84,119.0,1.0,1.0,-1.0,-0.83,103.0,Very Large (100+),Low (<5%),1,1,0,1
HC-479,2022-06-29,Marketing,121,2,0,0.0,2022,6,2,June,2,1.65,0.0,1.65,120.0,1.7,1.0,2.0,1.68,103.0,Very Large (100+),,1,0,1,0
HC-488,2022-07-30,Marketing,123,3,0,0.0,2022,7,3,July,3,2.44,0.0,2.44,121.0,2.0,0.7,2.0,1.65,103.0,Very Large (100+),,1,0,1,0
HC-497,2022-08-30,Marketing,129,6,1,0.0078,2022,8,3,August,5,3.88,0.78,4.65,124.0,3.7,0.3,6.0,4.88,103.0,Very Large (100+),Low (<5%),1,1,1,0
HC-506,2022-09-29,Marketing,131,3,1,0.0076,2022,9,3,September,2,1.53,0.76,2.29,128.0,4.0,0.7,2.0,1.55,103.0,Very Large (100+),Low (<5%),1,1,1,0
HC-515,2022-10-30,Marketing,130,1,2,0.0154,2022,10,4,October,-1,-0.77,1.54,0.77,130.0,3.3,1.3,-1.0,-0.76,103.0,Very Large (100+),Low (<5%),1,1,0,1
HC-524,2022-11-29,Marketing,130,0,0,0.0,2022,11,4,November,0,0.0,0.0,0.0,130.0,1.3,1.0,0.0,0.0,103.0,Very Large (100+),,0,0,0,0
HC-533,2022-12-30,Marketing,134,4,0,0.0,2022,12,4,December,4,2.99,0.0,2.99,131.0,1.7,0.7,4.0,3.08,103.0,Very Large (100+),,1,0,1,0
HC-542,2023-01-30,Marketing,135,1,0,0.0,2023,1,1,January,1,0.74,0.0,0.74,133.0,1.7,0.0,1.0,0.75,103.0,Very Large (100+),,1,0,1,0
HC-551,2023-02-27,Marketing,135,1,1,0.0074,2023,2,1,February,0,0.0,0.74,0.74,135.0,2.0,0.3,0.0,0.0,103.0,Very Large (100+),Low (<5%),1,1,0,0
HC-560,2023-03-30,Marketing,136,2,1,0.0074,2023,3,1,March,1,0.74,0.74,1.47,135.0,1.3,0.7,1.0,0.74,103.0,Very Large (100+),Low (<5%),1,1,1,0
HC-569,2023-04-29,Marketing,138,2,0,0.0,2023,4,2,April,2,1.45,0.0,1.45,136.0,1.7,0.7,2.0,1.47,103.0,Very Large (100+),,1,0,1,0
HC-578,2023-05-30,Marketing,142,4,0,0.0,2023,5,2,May,4,2.82,0.0,2.82,139.0,2.7,0.3,4.0,2.9,103.0,Very Large (100+),,1,0,1,0
HC-587,2023-06-29,Marketing,148,6,0,0.0,2023,6,2,June,6,4.05,0.0,4.05,143.0,4.0,0.0,6.0,4.23,103.0,Very Large (100+),,1,0,1,0
HC-596,2023-07-30,Marketing,150,2,0,0.0,2023,7,3,July,2,1.33,0.0,1.33,147.0,4.0,0.0,2.0,1.35,103.0,Very Large (100+),,1,0,1,0
HC-605,2023-08-30,Marketing,151,1,0,0.0,2023,8,3,August,1,0.66,0.0,0.66,150.0,3.0,0.0,1.0,0.67,103.0,Very Large (100+),,1,0,1,0
HC-614,2023-09-29,Marketing,154,3,0,0.0,2023,9,3,September,3,1.95,0.0,1.95,152.0,2.0,0.0,3.0,1.99,103.0,Very Large (100+),,1,0,1,0
HC-623,2023-10-30,Marketing,155,1,0,0.0,2023,10,4,October,1,0.65,0.0,0.65,153.0,1.7,0.0,1.0,0.65,103.0,Very Large (100+),,1,0,1,0
HC-632,2023-11-29,Marketing,155,1,1,0.0065,2023,11,4,November,0,0.0,0.65,0.65,155.0,1.7,0.3,0.0,0.0,103.0,Very Large (100+),Low (<5%),1,1,0,0
HC-641,2023-12-30,Marketing,155,0,0,0.0,2023,12,4,December,0,0.0,0.0,0.0,155.0,0.7,0.3,0.0,0.0,103.0,Very Large (100+),,0,0,0,0
HC-650,2024-01-30,Marketing,158,4,0,0.0,2024,1,1,January,4,2.53,0.0,2.53,156.0,1.7,0.3,3.0,1.94,103.0,Very Large (100+),,1,0,1,0
